id,question_type,question,choices,answer
ADV_ttm_inference_0001,mc,What can you validly conclude? Avoid common misconceptions.,"A) Penguins have everything that birds have
B) Penguins are birds
C) Nothing definitive about penguins being birds — this commits the fallacy of affirming the consequent
D) All birds are penguins",C
ADV_ttm_inference_0002,mc,What can you conclude?,"A) Nothing definite — the ground could be wet from other causes
B) It rained
C) The ground is always wet when it rains
D) It didn't rain",A
ADV_ttm_meta_reasoning_0001,mc,"You're solving a math problem and get an answer that doesn't match any option. What should you do?

Which of the following would the be? best response?","A) Assume the problem has an error C) Re-read only the question, not your work B) Re-examine your approach and calculations — check for both computational and conceptual errors D) Choose the closest answer",B
ADV_ttm_meta_reasoning_0002,mc,"You feel very confident about an answer but it contradicts your initial intuition. What should you do?

What is the best response?","A) Treat the confidence as a signal to verify — identify why you're confident and whether it's justified
B) Always go with initial intuition
C) Choose randomly when there's a conflict
D) Trust the confidence — it usually indicates correctness",A
ADV_ttm_argument_analysis_0001,mc,"Consider this argument:

""We should ban this technology because it could be misused.""

What is the primary weakness of this argument?",B) Fails to consider benefits or proportionality — anything could be misused C) The argument is too emotional D) It assumes the technology is currently unregulated A) It doesn't provide specific examples of misuse,B
ADV_ttm_argument_analysis_0002,mc,"Consider this argument:

""This policy is successful because crime decreased after implementation.""

What is the primary weakness of this argument? Apply critical thinking to avoid surface-level answers.",C) It doesn't consider other areas where crime increased (This appears to be unrelated concept) A) Post hoc fallacy — doesn't establish that the policy caused the decrease B) The argument is too general D) It doesn't define what 'successful' means,A
ADV_ttm_decision_making_0001,mc,"You must choose between a guaranteed $100 or a 50% chance of $250. What's the rational choice?

What is the best response?",C) Neither is rational without more context (This appears to be red herring) D) Always the guaranteed amount — certainty is inherently valuable (This appears to be contradicted premise) B) Depends on your risk tolerance and utility function — expected value favors the gamble ($125 vs $100) A) Always the gamble — higher expected value is always better,B
ADV_ttm_decision_making_0002,mc,"You have limited resources and multiple promising projects. How should you decide?

What is the best response?","D) Allocate resources equally to all projects C) Choose randomly to avoid bias A) Consider expected value, risk, resource requirements, and strategic alignment holistically B) Always choose the project with highest potential return",A
ADV_ttm_counterfactual_0001,mc,"If Germany had won World War II, how would technology be different today?","A) Technology would be essentially the same — scientific progress is independent
B) 
C) We can make reasonable predictions based on German technological priorities
D) Nuclear technology would not have been developed",B
ADV_ttm_counterfactual_0002,mc,"If the asteroid hadn't hit Earth 66 million years ago, would dinosaurs still dominate?",A) Yes — dinosaurs were well-adapted and would have continued evolving (This appears to be common misconception) B) No — mammals would have outcompeted them anyway (This appears to be confused variable) C) D) Both would have coexisted in a balanced ecosystem,C
ADV_ttm_evidence_0001,mc,"A study of 10 people finds a significant effect. Another study of 10,000 finds no effect. Which is more reliable?

What is the best response?",B) Both are equally reliable if methodologies are sound D) The smaller study — easier to control for confounding variables C) Neither — reliability depends only on p-values A) The larger study — sample size is a key factor in statistical reliability,A
ADV_ttm_evidence_0002,mc,"An expert and a layperson disagree on a technical matter. How should you weigh their views?

What is the best response? Apply critical thinking to avoid surface-level answers.","C) Evaluate arguments and evidence, not credentials — expertise doesn't guarantee correctness D) Always trust the expert — they have relevant training B) Assume the truth is somewhere between their views (This appears to be confused variable) A) Trust the layperson — they're less likely to be biased",C
ADV_ttm_analogy_0001,mc,"Evaluate this analogy:

""The brain is like a computer because both process information.""

How would you characterize this analogy?","A) Superficial analogy — the actual mechanisms differ fundamentally
B) Strong analogy — information processing is the core similarity
C) Flawed analogy — computers don't actually process information
D) Perfect analogy — brain and computer are functionally identical",A
ADV_ttm_analogy_0002,mc,"Evaluate this analogy:

""Markets are like ecosystems because both involve competition and adaptation.""

How would you characterize this analogy? Avoid common misconceptions.","A) Useless analogy — no meaningful similarities exist
B) Strong analogy — the principles are identical
C) Misleading analogy — market competition is fundamentally different
D) Productive but limited analogy — useful for some insights but misses key differences",D
ADV_ttm_heuristic_0001,mc,"You need to estimate how many piano tuners work in a city. What's the best approach?

What is the best response?",B) Look up the answer — estimation is unnecessary A) Guess based on city size alone C) Break down the problem: population × piano ownership rate × tuning frequency ÷ tuners' capacity D) Assume it's proportional to the number of music stores,C
ADV_ttm_heuristic_0002,mc,"When should you use a heuristic rather than detailed analysis?

What is the best response?","A) Never — detailed analysis is always superior
B) Only for personal decisions, not professional ones
C) When time/constraints prevent analysis, stakes are low, or heuristic is known to be reliable
D) Always — heuristics are faster and usually correct",C
